command,command_key,base_command,category,description,examples,source_line,source_page,canonical_source,source_files,status,duplicate_type,duplicate_of,quality_flags,confidence
cp source dest,cp source dest,cp,File Management,Sekcja Komend,cp source dest,3880,66,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,cp source dest,weak_description,high
csplit,csplit,csplit,File Management,Dzieli plik wg wzorca,csplit file '/pattern/',3885,66,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
df,df,df,File Management,Wolne miejsce na filesystemach,df -h,3890,66,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,command_index,df,,high
df -h,df -h,df,File Management,disk full check. SAFE,df -h,3895,66,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | komendy,candidate,,,,high
df -hT,df -hT,df,File Management,disk usage by filesystem type. SAFE 66,df -hT,3900,66,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf | komendy,candidate,,,,high
df -hT # zamontowane,df -hT # zamontowane,df,File Management,11.4 Zarządzanie Dyskami,df -hT # zamontowane,3910,67,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
df -i,df -i,df,File Management,Wolne inody,df -i,3915,67,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
diff,diff,diff,File Management,Verification step: expected vs actual state before declaring success.,diff file1 file2 | diff,3920,67,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | komendy,duplicate_existing,command_index,diff,,high
diff -Naur,diff -Naur,diff,File Management,Generuje patch,diff -Naur old/ new/ > fix.patch,3926,67,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
diff -qr dir1 dir2,diff -qr dir1 dir2,diff,File Management,recursive quick diff. SAFE,diff -qr dir1 dir2,3931,67,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
diff -u,diff -u,diff,File Management,Unified diff,diff -u file1 file2,3936,67,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
diff -u file1 file2,diff -u file1 file2,diff,File Management,unified diff. SAFE,diff -u file1 file2,3941,67,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
diff <(ls -la dir1) <(ls -la dir2),diff <(ls -la dir1) <(ls -la dir2),diff,File Management,Dodatek A: Przydatne Jednowierszowce 67,diff <(ls -la dir1) <(ls -la dir2),3946,67,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
diff <(ls dir1) <(ls dir2),diff <(ls dir1) <(ls dir2),diff,File Management,10.5 Zaawansowany Bash,diff <(ls dir1) <(ls dir2),3956,68,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
dirname,dirname,dirname,File Management,Katalog ze ścieżki,dirname /etc/hosts,3961,68,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,canonical+command_index,dirname,,high
dirs,dirs,dirs,File Management,Pokazuje stos katalogów,dirs -v | dirs,3966,68,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,duplicate_existing,canonical+command_index,dirs,,high
du,du,du,File Management,Użycie dysku przez pliki/katalogi,du -sh /var/log,3972,68,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
du -ah,du -ah,du,File Management,Szczegółowo wszystkie pliki,du -ah /home \,3977,68,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
du -h --max-depth=1 /var,du -h --max-depth=1 /var,du,File Management,per-subdirectory size. SAFE,du -h --max-depth=1 /var,3982,68,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
du -sh /*,du -sh /*,du,File Management,sort -h tail -20,,3987,68,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.pdf,candidate,,,,high
du -sh /* | sort -h | tail -20,du -sh /* | sort -h | tail -20,du,File Management,Dodatek B: Komendy Ratunkowe 68,du -sh /* | sort -h | tail -20,3992,68,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md,candidate,,,,high
du -sh /var/* # zużycie dysku,du -sh /var/* # zużycie dysku,du,File Management,11.4 Zarządzanie Dyskami,du -sh /var/* # zużycie dysku,4002,69,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
du -sh /var/log,du -sh /var/log,du,File Management,directory total size. SAFE,du -sh /var/log,4007,69,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
fallocate -l 10G disk.img,fallocate -l 10G disk.img,fallocate,File Management,fast allocation. SAFE,fallocate -l 10G disk.img,4012,69,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,candidate,,,,high
fallocate -l 4G /swapfile,fallocate -l 4G /swapfile,fallocate,File Management,Tworzenie swap,fallocate -l 4G /swapfile,4017,69,runtime/knowledge/source/linux_master_library_v1.pdf,linux_engineering_book.md | linux_engineering_book.pdf,candidate,,,,high
file,file,file,File Management,Komentarz Komentarz w skrypcie function myfunc() { Definicja funkcji,file /bin/bash | file,4022,69,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND | RHCSA_Command_Library.pdf,unresolved,canonical+command_index,file,probable_pdf_merge_artifact,low
"file '/start/,/end/p'","file '/start/,/end/p'",file,File Management,Sekcja Komend,"file '/start/,/end/p'",4028,69,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file -b /bin/ls,file -b /bin/ls,file,File Management,,file type without filename. SAFE | file -b /bin/ls,4033,69,runtime/knowledge/source/linux_master_library_v1.pdf,komendy,unresolved,,,probable_pdf_merge_artifact,low
file -out file.enc,file -out file.enc,file,File Management,Komentarz Komentarz w skrypcie function myfunc() { Definicja funkcji 69,file -out file.enc,4038,69,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,probable_pdf_merge_artifact,low
file /etc/passwd,file /etc/passwd,file,File Management,Sekcja Komend,file /etc/passwd,4048,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file 2>/dev/null,file 2>/dev/null,file,File Management,Sekcja Komend,file 2>/dev/null,4053,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file chronyd,file chronyd,file,File Management,Komentarz Komentarz w skrypcie function myfunc() { Definicja funkcji,file chronyd,4058,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,probable_pdf_merge_artifact,low
file file,file file,file,File Management,Sekcja Komend,file file,4063,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file grup,file grup,file,File Management,Sekcja Komend,file grup,4068,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file kadej linii,file kadej linii,file,File Management,Sekcja Komend,file kadej linii,4073,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file regularnego,file regularnego,file,File Management,Sekcja Komend,file regularnego,4078,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,weak_description | probable_pdf_merge_artifact,low
file symboliczne u:user:rwx file,file symboliczne u:user:rwx file,file,File Management,Sekcja Komend 70,file symboliczne u:user:rwx file,4083,70,runtime/knowledge/source/linux_master_library_v1.pdf,RHCSA_Command_Library.pdf,unresolved,,,probable_pdf_merge_artifact,low
find,find,find,File Management,Wyszukiwanie plików,"find / -name ""*.conf""",4093,71,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,duplicate_existing,command_index,find,,high
find -exec,find -exec,find,File Management,Wykonuje komendę na wynikach,"find . -name ""*.tmp"" -exec rm {} \;",4098,71,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
find -mtime,find -mtime,find,File Management,Modyfikacja w ciągu N dni,find /var/log -mtime +7,4103,71,runtime/knowledge/source/linux_master_library_v1.pdf,LINUX COMMAND,candidate,,,,high
