path,file_type,size_bytes,tracked_by_git,classification_label,authority_role,contamination_risk,duplicate_authority_risk,generated_runtime,external_model_output,rhcsa_or_linux_knowledge,recommended_action,notes
docs/LINUX_ENGINEERING_LIBRARY.md,.md,7900,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,True,review before GT7 move/archive decisions,
docs/LINUX_ENGINEERING_LIBRARY_REPORT.md,.md,658,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,True,review before GT7 move/archive decisions,
docs/NON_GOALS.md,.md,2119,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE1_COMPLETE_REPORT.md,.md,4355,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE1_POSTCHECK.md,.md,4257,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE1_STRUCTURE_REPORT.md,.md,3731,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE2_DUPLICATION_SCAN.md,.md,1914,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE2_MIGRATION_REPORT.md,.md,4393,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE2_UNCLASSIFIED_ITEMS.md,.md,1298,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE3_DEPENDENCY_RISKS.md,.md,1945,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE3_GOVERNANCE_PREP_REPORT.md,.md,2589,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PHASE3_RUNTIME_PREP_STATUS.md,.md,1964,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/PRE_PHASE1_CONFLICT_SCAN.md,.md,3651,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/README.md,.md,188,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/REPOSITORY_CONSTITUTION.md,.md,2448,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/REPOSITORY_STATE_REPORT.md,.md,9947,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/REPO_STRUCTURE.md,.md,1920,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/RHCSA_ENGINE_REVIEW.md,.md,2242,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,True,review before GT7 move/archive decisions,
docs/RUNTIME_BOUNDARY.md,.md,345,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/TAXONOMY_NORMALIZATION_REPORT.md,.md,1885,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/TEST_CONSTITUTION.md,.md,1105,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/TRANSFER_CONTENT_REPORT.txt,.txt,4840,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/adr/0001-keep-aoia-isolated.md,.md,1311,yes,stale,older ADR line,medium,high,False,False,False,review before GT7 ADR consolidation,
docs/adr/0002-minimal-deterministic-router-skeleton.md,.md,1101,yes,stale,older ADR line,medium,high,False,False,False,review before GT7 ADR consolidation,
docs/adr/0003-immutable-startup-configuration.md,.md,1086,yes,stale,older ADR line,medium,high,False,False,False,review before GT7 ADR consolidation,
docs/adr/0004-stdout-only-plain-text-logging.md,.md,887,yes,stale,older ADR line,medium,high,False,False,False,review before GT7 ADR consolidation,
docs/adr/0005-test-constitution-determinism-first.md,.md,875,yes,stale,older ADR line,medium,high,False,False,False,review before GT7 ADR consolidation,
docs/adr/README.md,.md,411,yes,stale,older ADR line,medium,high,False,False,False,review before GT7 ADR consolidation,
docs/architecture/AOIA_MEMORY_MODEL.md,.md,14412,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/architecture/FORBIDDEN_MEMORY_FLOWS.md,.md,5776,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/architecture/MEMORY_LAYER_ACCESS_MATRIX.md,.md,5220,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/audit/AOIA_BOOT_BLOCKERS.md,.md,3515,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_CLEANUP_CLASSIFICATION.md,.md,8354,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_CLEANUP_EXECUTION_SEQUENCE.md,.md,4019,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_CLEANUP_HEALTHCHECK.md,.md,1974,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_CLEANUP_PHASE1_WEB_INFORMED_MASTER_REPORT.md,.md,5904,yes,external-model-output,model/web-informed audit,medium,medium,False,True,False,do not treat as canonical doctrine,
docs/audit/AOIA_CLEANUP_REPO_IDENTITY.md,.md,1646,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_FUTURE_COMPATIBILITY_NOTES.md,.md,1799,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_NANO_CORE_MAPPING.md,.md,2826,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_PROVENANCE_STANDARD_MAPPING.md,.md,3529,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/AOIA_RHCSA_KNOWLEDGE_SEPARATION_PLAN.md,.md,2931,yes,historical,audit/checkpoint report,low,low,False,False,True,keep as historical audit record,
docs/audit/AOIA_SINGLE_EVENT_LEDGER_PLAN.md,.md,3093,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT2_28_05_BOOT_FIX_REPORT.md,.md,6765,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT3_28_05_CLOSURE_CHECK_REPORT.md,.md,2982,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT3_28_05_RUNTIME_STATE_GITIGNORE_REPORT.md,.md,6513,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT4_28_05_CLOSURE_REPORT.md,.md,4569,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT5_28_05_FINAL_COMMIT_PUSH_REPORT.md,.md,1584,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT6_28_05_CLOSURE_CHECK_REPORT.md,.md,3423,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT6_28_05_COMMIT_PUSH_FINAL_REPORT.md,.md,1777,no,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT6_28_05_DOCUMENT_AUTHORITY_INVENTORY.json,.json,27190,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT6_28_05_STALE_DOCS_FORENSIC_EXPORTS_AUDIT_REPORT.md,.md,11522,yes,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/audit/GT7_28_05_HANDOFF_REPORT.md,.md,1701,no,historical,audit/checkpoint report,low,low,False,False,False,keep as historical audit record,
docs/checkpoints/2026-05-23/AOIA_DAILY_CHECKPOINT.md,.md,10920,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/checkpoints/2026-05-23/NEXT_ACTIONS.md,.md,2638,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/forensic-runtime-audit/CANONICAL_REFACTOR_PREP.md,.md,4669,yes,historical,forensic runtime audit,medium,high,False,False,False,candidate for historical/forensic bucket,
docs/forensic-runtime-audit/CURRENT_RUNTIME_TOPOLOGY.md,.md,5954,yes,historical,forensic runtime audit,medium,high,False,False,False,candidate for historical/forensic bucket,
docs/forensic-runtime-audit/MEMORY_CONTAMINATION_MAP.md,.md,4838,yes,historical,forensic runtime audit,medium,high,False,False,False,candidate for historical/forensic bucket,
docs/forensic-runtime-audit/RUNTIME_BOUNDARY_VIOLATIONS.md,.md,7048,yes,historical,forensic runtime audit,medium,high,False,False,False,candidate for historical/forensic bucket,
docs/governance/APPEND_ONLY_PROVENANCE_CONTRACT.md,.md,851,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/governance/EVIDENCE_WRITE_CONTRACT.md,.md,1879,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/governance/GOVERNANCE_IMPLEMENTATION_STATUS.md,.md,2513,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/governance/PROVENANCE_VERIFICATION_CONTRACT.md,.md,753,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/governance/TEST_ENVIRONMENT_POLICY.md,.md,3537,yes,canonical,canonical documentation,low,low,False,False,False,keep canonical,
docs/linux-engineering/README.md,.md,2471,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,True,review before GT7 move/archive decisions,
docs/refactor/CANONICAL_AUTHORITY_GRAPH.md,.md,16925,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/refactor/MEMORY_AUTHORITY_BOUNDARIES.md,.md,7543,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/refactor/MEMORY_CONTAMINATION_GRAPH.md,.md,8928,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/refactor/MEMORY_DEPENDENCY_GRAPH.md,.md,7464,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/refactor/MEMORY_SPLIT_PLAN.md,.md,15467,yes,unknown-needs-review,documentation needing authority review,low,medium,False,False,False,review before GT7 move/archive decisions,
docs/reports/AOIA_RESTART_PRODUCTION_REPORT.pdf,.pdf,134337,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
docs/reports/AOIA_TUI_PHASE1_REPORT.md,.md,4831,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
docs/reports/AOIA_TUI_PHASE2_REPORT.md,.md,4544,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
docs/reports/FINAL_URL_HANDOFF_PATCH.md,.md,3824,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
docs/reports/PHASE_1A_GIT_VALIDATION.md,.md,7710,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
docs/reports/PHASE_2B_ROUTING_BOUNDARY.md,.md,5298,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
docs/stabilization/PHASE_0B_EVIDENCE_BOUNDARY_FORMALIZATION_REPORT.md,.md,3016,yes,historical,stabilization milestone report,low,low,False,False,False,keep as historical milestone,
docs/stabilization/PHASE_0C_APPEND_ONLY_PROVENANCE_REPORT.md,.md,2425,yes,historical,stabilization milestone report,low,low,False,False,False,keep as historical milestone,
docs/stabilization/PHASE_0D_PROVENANCE_VERIFICATION_REPORT.md,.md,2000,yes,historical,stabilization milestone report,low,low,False,False,False,keep as historical milestone,
docs/stabilization/PHASE_0E_CLOSURE_REPORT.md,.md,5026,yes,canonical,current stabilization closure reference,low,low,False,False,False,keep canonical,
docs/stabilization/PHASE_0E_LOCAL_READOUT_REPORT.md,.md,1369,yes,historical,stabilization milestone report,low,low,False,False,False,keep as historical milestone,
governance/README.md,.md,217,yes,unknown-needs-review,supporting source-adjacent artifact,low,low,False,False,False,keep unless later scoped audit says otherwise,
memory/README.md,.md,383,yes,unknown-needs-review,supporting source-adjacent artifact,low,low,False,False,False,keep unless later scoped audit says otherwise,
provenance/README.md,.md,265,yes,unknown-needs-review,supporting source-adjacent artifact,low,low,False,False,False,keep unless later scoped audit says otherwise,
reports/forensic_export/README_AUDIT.md,.md,2368,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/architecture_and_runtime.html,.html,656547,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/architecture_and_runtime.md,.md,145559,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/architecture_and_runtime.pdf,.pdf,305586,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/architecture_summary.md,.md,4797,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/docs_and_governance.md,.md,250739,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/knowledge_layer.md,.md,653634,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,True,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/memory_architecture.md,.md,43427,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/provenance_system.md,.md,76483,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/retrieval_system.md,.md,50416,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,True,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/runtime_core.md,.md,139258,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/tests_and_validation.md,.md,58255,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/chunked_markdown/tooling_and_execution.md,.md,95587,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/export_metadata.json,.json,691,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/file_manifest.csv,.csv,36156,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/forensic_full_snapshot.html,.html,26665,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/forensic_full_snapshot.md,.md,18785,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/forensic_full_snapshot.pdf,.pdf,115341,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/memory_and_provenance.html,.html,590246,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/memory_and_provenance.md,.md,120023,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/memory_and_provenance.pdf,.pdf,264150,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/module_summaries.md,.md,1385,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/pdf_inputs/architecture_and_runtime.md,.md,145542,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/pdf_inputs/forensic_full_snapshot.md,.md,18785,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/pdf_inputs/memory_and_provenance.md,.md,119913,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/pdf_inputs/retrieval_and_knowledge_layer.md,.md,700558,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,True,exclude from evidence/canonical ingestion,
reports/forensic_export/repository_tree.txt,.txt,9938,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,False,exclude from evidence/canonical ingestion,
reports/forensic_export/retrieval_and_knowledge_layer.html,.html,4035562,yes,external-model-output,rendered/exported audit artifact,high,high,False,True,True,exclude from evidence/canonical ingestion,
