taxonomy_id,parent_id,name,label,description,risk_label,aoia_tags
HAT003-TAX-CORE-0057,HAT003-TAX-CORE-0053,scikit_learn,Scikit Learn,Static review and curriculum node for scikit learn.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0058,HAT003-TAX-CORE-0053,pytorch,Pytorch,Static review and curriculum node for pytorch.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0059,HAT003-TAX-CORE-0053,tensorflow,Tensorflow,Static review and curriculum node for tensorflow.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0060,HAT003-TAX-CORE-0053,transformers,Transformers,Static review and curriculum node for transformers.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0061,HAT003-TAX-CORE-0053,notebooks,Notebooks,Static review and curriculum node for notebooks.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0062,HAT003-TAX-CORE-0053,reproducibility,Reproducibility,Static review and curriculum node for reproducibility.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0063,HAT003-TAX-CORE-0053,data_validation,Data Validation,Static review and curriculum node for data validation.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0064,HAT003-TAX-CORE-0053,model_evaluation,Model Evaluation,Static review and curriculum node for model evaluation.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-CORE-0065,HAT003-TAX-CORE-0053,ml_safety_basics,Ml Safety Basics,Static review and curriculum node for ml safety basics.,SAFE_EDUCATIONAL,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0001,,security_static_safety,Security Static Safety,Top-level Hat 003 category for security static safety.,REVIEW_REQUIRED,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0002,HAT003-TAX-SAFETY-0001,unsafe_dynamic_execution,Unsafe Dynamic Execution,Static review and curriculum node for unsafe dynamic execution.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0003,HAT003-TAX-SAFETY-0001,subprocess_shell_risk,Subprocess Shell Risk,Static review and curriculum node for subprocess shell risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0004,HAT003-TAX-SAFETY-0001,deserialization,Deserialization,Static review and curriculum node for deserialization.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0005,HAT003-TAX-SAFETY-0001,path_traversal,Path Traversal,Static review and curriculum node for path traversal.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0006,HAT003-TAX-SAFETY-0001,secrets,Secrets,Static review and curriculum node for secrets.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0007,HAT003-TAX-SAFETY-0001,dependency_risk,Dependency Risk,Static review and curriculum node for dependency risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0008,HAT003-TAX-SAFETY-0001,web_security,Web Security,Static review and curriculum node for web security.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0009,HAT003-TAX-SAFETY-0001,injection_risks,Injection Risks,Static review and curriculum node for injection risks.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0010,HAT003-TAX-SAFETY-0001,file_system_risk,File System Risk,Static review and curriculum node for file system risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0011,HAT003-TAX-SAFETY-0001,network_risk,Network Risk,Static review and curriculum node for network risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0012,HAT003-TAX-SAFETY-0001,logging_risk,Logging Risk,Static review and curriculum node for logging risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0013,HAT003-TAX-SAFETY-0001,configuration_risk,Configuration Risk,Static review and curriculum node for configuration risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
HAT003-TAX-SAFETY-0014,HAT003-TAX-SAFETY-0001,ai_generated_code_risk,Ai Generated Code Risk,Static review and curriculum node for ai generated code risk.,SECURITY_SENSITIVE,hat:003;domain:python;execution:no;review:human-required
