source_id,name,category,subcategory,url_or_reference,license_or_access_note,trust_level,recommended_use,hat_relevance,risk_notes
SRC-PY-LEARNING-037,Think Python 2nd Edition,learning,book,https://greenteapress.com/wp/think-python-2e/,public documentation or public reference; verify license before copying content,secondary,introductory computer science,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-038,Dive Into Python 3,learning,book,https://diveintopython3.net/,public documentation or public reference; verify license before copying content,secondary,intermediate language learning,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-039,Fluent Python,learning,book,https://www.oreilly.com/library/view/fluent-python-2nd/9781492056348/,public documentation or public reference; verify license before copying content,curated_secondary,advanced Python idioms,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-040,Real Python,learning,tutorials,https://realpython.com/,public documentation or public reference; verify license before copying content,secondary,practical tutorials,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-041,Google Python Class,learning,course,https://developers.google.com/edu/python,public documentation or public reference; verify license before copying content,secondary,beginner course,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-042,Python Module of the Week,learning,stdlib,https://pymotw.com/3/,public documentation or public reference; verify license before copying content,secondary,standard library examples,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-043,ArjanCodes,learning,video,https://www.youtube.com/@ArjanCodes,public documentation or public reference; verify license before copying content,secondary,design and maintainability discussions,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-044,mCoding,learning,video,https://www.youtube.com/@mCoding,public documentation or public reference; verify license before copying content,secondary,Python internals and idioms,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-045,Corey Schafer,learning,video,https://www.youtube.com/@coreyms,public documentation or public reference; verify license before copying content,secondary,beginner and intermediate tutorials,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-046,Talk Python Podcast,learning,podcast,https://talkpython.fm/,public documentation or public reference; verify license before copying content,secondary,ecosystem interviews,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-LEARNING-047,Python Bytes,learning,podcast,https://pythonbytes.fm/,public documentation or public reference; verify license before copying content,secondary,news and package discovery,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-048,FastAPI,web_api,framework,https://fastapi.tiangolo.com/,public documentation or public reference; verify license before copying content,curated_secondary,ASGI API framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-049,Django,web_api,framework,https://www.djangoproject.com/,public documentation or public reference; verify license before copying content,curated_secondary,full-stack web framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-050,Flask,web_api,framework,https://flask.palletsprojects.com/,public documentation or public reference; verify license before copying content,curated_secondary,WSGI microframework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-051,Starlette,web_api,framework,https://www.starlette.io/,public documentation or public reference; verify license before copying content,curated_secondary,ASGI toolkit,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-052,Requests,web_api,http_client,https://requests.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,synchronous HTTP client,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-053,HTTPX,web_api,http_client,https://www.python-httpx.org/,public documentation or public reference; verify license before copying content,curated_secondary,sync and async HTTP client,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-054,aiohttp,web_api,http_client,https://docs.aiohttp.org/,public documentation or public reference; verify license before copying content,curated_secondary,async HTTP client/server,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-055,Scrapy,web_api,scraping,https://scrapy.org/,public documentation or public reference; verify license before copying content,curated_secondary,crawler framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-WEB_API-056,BeautifulSoup,web_api,parsing,https://www.crummy.com/software/BeautifulSoup/,public documentation or public reference; verify license before copying content,curated_secondary,HTML parsing,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-CLI-057,Typer,cli,framework,https://typer.tiangolo.com/,public documentation or public reference; verify license before copying content,curated_secondary,typed CLI framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-CLI-058,Click,cli,framework,https://click.palletsprojects.com/,public documentation or public reference; verify license before copying content,curated_secondary,CLI framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-CLI-059,Rich,cli,terminal_ui,https://rich.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,terminal formatting,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-060,NumPy,data_ml,array,https://numpy.org/,public documentation or public reference; verify license before copying content,curated_secondary,array computing,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-061,Pandas,data_ml,dataframe,https://pandas.pydata.org/,public documentation or public reference; verify license before copying content,curated_secondary,dataframe analysis,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-062,Polars,data_ml,dataframe,https://pola.rs/,public documentation or public reference; verify license before copying content,curated_secondary,dataframe engine,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-063,Matplotlib,data_ml,visualization,https://matplotlib.org/,public documentation or public reference; verify license before copying content,curated_secondary,plotting,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-064,SciPy,data_ml,scientific,https://scipy.org/,public documentation or public reference; verify license before copying content,curated_secondary,scientific computing,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-065,scikit-learn,data_ml,machine_learning,https://scikit-learn.org/,public documentation or public reference; verify license before copying content,curated_secondary,classical ML,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-066,PyTorch,data_ml,deep_learning,https://pytorch.org/,public documentation or public reference; verify license before copying content,curated_secondary,deep learning,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-067,TensorFlow,data_ml,deep_learning,https://www.tensorflow.org/,public documentation or public reference; verify license before copying content,curated_secondary,deep learning,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-068,Hugging Face Transformers,data_ml,nlp_ai,https://huggingface.co/docs/transformers/,public documentation or public reference; verify license before copying content,curated_secondary,model tooling,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-069,LangChain,data_ml,llm_apps,https://python.langchain.com/,public documentation or public reference; verify license before copying content,curated_secondary,LLM application framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-070,Jupyter,data_ml,notebooks,https://jupyter.org/,public documentation or public reference; verify license before copying content,curated_secondary,notebook workflows,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-DATA_ML-071,Google Colab,data_ml,notebooks,https://colab.research.google.com/,public documentation or public reference; verify license before copying content,curated_secondary,hosted notebook workflows,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-072,pytest,quality,testing,https://docs.pytest.org/,public documentation or public reference; verify license before copying content,curated_secondary,test framework,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-073,unittest,quality,testing,https://docs.python.org/3/library/unittest.html,public documentation or public reference; verify license before copying content,primary,standard library testing,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-074,Hypothesis,quality,property_testing,https://hypothesis.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,property-based testing,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-075,tox,quality,env_testing,https://tox.wiki/,public documentation or public reference; verify license before copying content,curated_secondary,test environment automation,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-076,nox,quality,env_testing,https://nox.thea.codes/,public documentation or public reference; verify license before copying content,curated_secondary,session automation,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-077,coverage.py,quality,coverage,https://coverage.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,coverage measurement,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-078,Ruff,quality,linting,https://docs.astral.sh/ruff/,public documentation or public reference; verify license before copying content,curated_secondary,linting and formatting,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-079,Black,quality,formatting,https://black.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,formatter,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-080,isort,quality,imports,https://pycqa.github.io/isort/,public documentation or public reference; verify license before copying content,curated_secondary,import sorting,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-081,mypy,quality,typing,https://mypy.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,static type checking,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-082,Pyright,quality,typing,https://microsoft.github.io/pyright/,public documentation or public reference; verify license before copying content,curated_secondary,static type checking,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-083,uv,packaging,tooling,https://docs.astral.sh/uv/,public documentation or public reference; verify license before copying content,curated_secondary,package and environment tool,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-084,pip,packaging,tooling,https://pip.pypa.io/,public documentation or public reference; verify license before copying content,curated_secondary,package installer,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-085,pipx,packaging,tooling,https://pipx.pypa.io/,public documentation or public reference; verify license before copying content,curated_secondary,isolated app installer,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-086,Poetry,packaging,tooling,https://python-poetry.org/,public documentation or public reference; verify license before copying content,curated_secondary,dependency and packaging tool,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-087,Hatch,packaging,tooling,https://hatch.pypa.io/,public documentation or public reference; verify license before copying content,curated_secondary,project manager,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-088,setuptools,packaging,build_backend,https://setuptools.pypa.io/,public documentation or public reference; verify license before copying content,curated_secondary,build backend,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-089,wheel,packaging,distribution,https://wheel.readthedocs.io/,public documentation or public reference; verify license before copying content,curated_secondary,wheel format,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-090,venv,packaging,environment,https://docs.python.org/3/library/venv.html,public documentation or public reference; verify license before copying content,primary,virtual environments,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-PACKAGING-091,conda,packaging,environment,https://docs.conda.io/,public documentation or public reference; verify license before copying content,curated_secondary,environment management,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
SRC-PY-QUALITY-092,pre-commit,quality,automation,https://pre-commit.com/,public documentation or public reference; verify license before copying content,curated_secondary,local quality hooks,Hat003,Use for static knowledge mapping only. Track version differences and do not copy proprietary text.
