path,module,category,size_bytes,last_modified,description
docs/GIT_HISTORY_CONTINUATION_PLAN.md,docs/GIT_HISTORY_CONTINUATION_PLAN.md,docs,677,2026-05-23T09:27:45,Git History Continuation Plan
docs/KNOWLEDGE_PACK_RULES.md,docs/KNOWLEDGE_PACK_RULES.md,docs,1924,2026-05-21T20:37:59,AOIA Knowledge Pack Rules
docs/KNOWLEDGE_PACK_SPEC.md,docs/KNOWLEDGE_PACK_SPEC.md,docs,2131,2026-05-21T20:37:59,AOIA Knowledge Pack Specification
docs/LINEAGE_MAP.md,docs/LINEAGE_MAP.md,docs,531,2026-05-23T09:36:52,Lineage Map
docs/LINUX_ENGINEERING_LIBRARY.md,docs/LINUX_ENGINEERING_LIBRARY.md,docs,7900,2026-05-24T11:59:50,Linux Engineering Library
docs/LINUX_ENGINEERING_LIBRARY_REPORT.md,docs/LINUX_ENGINEERING_LIBRARY_REPORT.md,docs,658,2026-05-24T12:10:58,Linux Engineering Library Report
docs/NON_GOALS.md,docs/NON_GOALS.md,docs,2119,2026-05-21T19:51:45,AOIA Non-Goals
docs/PHASE1_COMPLETE_REPORT.md,docs/PHASE1_COMPLETE_REPORT.md,docs,4355,2026-05-24T09:00:40,Phase 1 Complete Report
docs/PHASE1_POSTCHECK.md,docs/PHASE1_POSTCHECK.md,docs,4257,2026-05-24T08:57:20,Phase 1 Postcheck
docs/PHASE1_STRUCTURE_REPORT.md,docs/PHASE1_STRUCTURE_REPORT.md,docs,3731,2026-05-24T08:57:20,Phase 1 Structure Report
docs/PHASE2_DUPLICATION_SCAN.md,docs/PHASE2_DUPLICATION_SCAN.md,docs,1914,2026-05-24T11:03:39,Phase 2 Duplication Scan
docs/PHASE2_MIGRATION_REPORT.md,docs/PHASE2_MIGRATION_REPORT.md,docs,4393,2026-05-24T11:03:39,Phase 2 Migration Report
docs/PHASE2_UNCLASSIFIED_ITEMS.md,docs/PHASE2_UNCLASSIFIED_ITEMS.md,docs,1298,2026-05-24T11:03:40,Phase 2 Unclassified Items
docs/PHASE3_DEPENDENCY_RISKS.md,docs/PHASE3_DEPENDENCY_RISKS.md,docs,1945,2026-05-24T11:43:41,Phase 3 Dependency Risks
docs/PHASE3_GOVERNANCE_PREP_REPORT.md,docs/PHASE3_GOVERNANCE_PREP_REPORT.md,docs,2589,2026-05-24T11:43:41,Phase 3 Governance Preparation Report
docs/PHASE3_RUNTIME_PREP_STATUS.md,docs/PHASE3_RUNTIME_PREP_STATUS.md,docs,1964,2026-05-24T11:43:42,Phase 3 Runtime Preparation Status
docs/PRE_PHASE1_CONFLICT_SCAN.md,docs/PRE_PHASE1_CONFLICT_SCAN.md,docs,3651,2026-05-24T08:54:28,Pre-Phase 1 Conflict Scan
docs/README.md,docs/README.md,docs,188,2026-05-23T09:27:44,AOIA Core Docs
docs/REPOSITORY_CONSTITUTION.md,docs/REPOSITORY_CONSTITUTION.md,docs,2448,2026-05-21T17:10:54,Repository Constitution
docs/REPOSITORY_STATE_REPORT.md,docs/REPOSITORY_STATE_REPORT.md,docs,9947,2026-05-24T08:06:49,Repository State Report
docs/REPO_STRUCTURE.md,docs/REPO_STRUCTURE.md,docs,1920,2026-05-21T17:10:54,Repository Structure
docs/RHCSA_ENGINE_REVIEW.md,docs/RHCSA_ENGINE_REVIEW.md,docs,2242,2026-05-21T23:53:00,RHCSA Engine Review
docs/RUNTIME_BOUNDARY.md,docs/RUNTIME_BOUNDARY.md,docs,345,2026-05-23T09:36:52,Runtime Boundary
docs/TAXONOMY_NORMALIZATION_REPORT.md,docs/TAXONOMY_NORMALIZATION_REPORT.md,docs,1885,2026-05-24T11:02:32,Taxonomy Normalization Report
docs/TEST_CONSTITUTION.md,docs/TEST_CONSTITUTION.md,docs,1105,2026-05-21T17:25:10,Test Constitution
docs/TRANSFER_CONTENT_REPORT.txt,docs/TRANSFER_CONTENT_REPORT.txt,docs,4840,2026-05-24T08:16:50,Docs artifact.
docs/adr/0001-keep-aoia-isolated.md,docs/adr,docs,1311,2026-05-21T17:10:57,ADR 0001: Keep AOIA Isolated Until Explicit Integration
docs/adr/0002-minimal-deterministic-router-skeleton.md,docs/adr,docs,1101,2026-05-21T17:13:17,ADR 0002: Minimal Deterministic Router Skeleton
docs/adr/0003-immutable-startup-configuration.md,docs/adr,docs,1086,2026-05-21T17:15:41,ADR 0003: Immutable Startup Configuration
docs/adr/0004-stdout-only-plain-text-logging.md,docs/adr,docs,887,2026-05-21T17:17:55,ADR 0004: Stdout-Only Plain-Text Logging
docs/adr/0005-test-constitution-determinism-first.md,docs/adr,docs,875,2026-05-21T17:25:10,"ADR 0005: Test Constitution, Determinism First"
docs/adr/README.md,docs/adr,docs,411,2026-05-21T17:10:57,Architecture Decision Records
docs/architecture/AOIA_MEMORY_MODEL.md,docs/architecture,memory,14412,2026-05-23T19:24:16,AOIA Memory Model
docs/architecture/FORBIDDEN_MEMORY_FLOWS.md,docs/architecture,memory,5776,2026-05-23T19:24:17,Forbidden Memory Flows
docs/architecture/MEMORY_LAYER_ACCESS_MATRIX.md,docs/architecture,memory,5220,2026-05-23T19:24:17,Memory Layer Access Matrix
docs/checkpoints/2026-05-23/AOIA_DAILY_CHECKPOINT.md,docs/checkpoints,docs,10920,2026-05-23T20:36:11,AOIA Daily Checkpoint
docs/checkpoints/2026-05-23/NEXT_ACTIONS.md,docs/checkpoints,docs,2638,2026-05-23T20:36:12,Next Actions
docs/forensic-runtime-audit/CANONICAL_REFACTOR_PREP.md,docs/forensic-runtime-audit,docs,4669,2026-05-23T16:09:53,Canonical Refactor Prep
docs/forensic-runtime-audit/CURRENT_RUNTIME_TOPOLOGY.md,docs/forensic-runtime-audit,docs,5954,2026-05-23T16:09:52,Current Runtime Topology
docs/forensic-runtime-audit/MEMORY_CONTAMINATION_MAP.md,docs/forensic-runtime-audit,memory,4838,2026-05-23T16:09:52,Memory Contamination Map
docs/forensic-runtime-audit/RUNTIME_BOUNDARY_VIOLATIONS.md,docs/forensic-runtime-audit,docs,7048,2026-05-23T16:09:53,Runtime Boundary Violations
docs/linux-engineering/README.md,docs/linux-engineering,docs,2471,2026-05-24T16:36:42,Linux Engineering Knowledge Layer
docs/refactor/CANONICAL_AUTHORITY_GRAPH.md,docs/refactor,docs,16925,2026-05-23T20:11:05,Canonical Authority Graph
docs/refactor/MEMORY_AUTHORITY_BOUNDARIES.md,docs/refactor,memory,7543,2026-05-23T20:03:57,Memory Authority Boundaries
docs/refactor/MEMORY_CONTAMINATION_GRAPH.md,docs/refactor,memory,8928,2026-05-23T20:03:57,Memory Contamination Graph
docs/refactor/MEMORY_DEPENDENCY_GRAPH.md,docs/refactor,memory,7464,2026-05-23T20:03:56,Memory Dependency Graph
docs/refactor/MEMORY_SPLIT_PLAN.md,docs/refactor,memory,15467,2026-05-23T20:03:56,Memory Split Plan
docs/reports/FINAL_URL_HANDOFF_PATCH.md,docs/reports,docs,3824,2026-05-23T21:12:24,Final URL Handoff Patch
docs/reports/PHASE_1A_GIT_VALIDATION.md,docs/reports,docs,7710,2026-05-23T19:39:05,Phase 1A Git Validation
docs/reports/PHASE_2B_ROUTING_BOUNDARY.md,docs/reports,docs,5298,2026-05-23T21:04:29,Phase 2B Routing Boundary
governance/README.md,governance/README.md,repository,217,2026-05-23T10:44:30,Governance
memory/README.md,memory/README.md,memory,383,2026-05-23T10:44:29,Memory
provenance/README.md,provenance/README.md,provenance,265,2026-05-23T10:44:27,Provenance
reports/linux-engineering/rhcsa_existing_state_audit.md,reports/linux-engineering,reports,5591,2026-05-24T16:36:40,RHCSA/Linux Existing State Audit
retrieval/README.md,retrieval/README.md,repository,288,2026-05-23T10:44:30,Retrieval
runtime/adaptive_routing/aoia_config.json,runtime/adaptive_routing,runtime,258,2026-05-21T17:15:40,Runtime artifact.
runtime/adaptive_routing/circadian_router.py,runtime/adaptive_routing,runtime,794,2026-05-21T14:17:19,Python source module.
runtime/adaptive_routing/config_loader.py,runtime/adaptive_routing,runtime,2446,2026-05-21T17:15:41,Python source module.
runtime/adaptive_routing/deterministic_router.py,runtime/adaptive_routing,runtime,474,2026-05-21T17:13:17,Python source module.
runtime/adaptive_routing/dvm_research.md,runtime/adaptive_routing,runtime,4364,2026-05-21T14:17:18,Adaptive Oceanic Intelligence Architecture - DVM Foundation
runtime/adaptive_routing/environment/environment_router.py,runtime/adaptive_routing,runtime,1135,2026-05-21T14:22:55,Python source module.
runtime/adaptive_routing/environment/network_patterns.md,runtime/adaptive_routing,runtime,2674,2026-05-21T14:22:54,AOIA Step 2 - Environmental Network Patterns
runtime/adaptive_routing/environment/traffic_profiles.json,runtime/adaptive_routing,runtime,388,2026-05-21T14:22:54,Runtime artifact.
runtime/adaptive_routing/epistemic_kernel.py,runtime/adaptive_routing,runtime,12200,2026-05-23T03:34:50,Python source module.
runtime/adaptive_routing/routing_modes.json,runtime/adaptive_routing,runtime,384,2026-05-21T14:17:18,Runtime artifact.
runtime/adaptive_routing/stdout_logger.py,runtime/adaptive_routing,runtime,709,2026-05-21T17:17:54,Python source module.
runtime/commands/__init__.py,runtime/commands,tooling,174,2026-05-18T19:53:29,Tooling artifact.
runtime/commands/base.py,runtime/commands,tooling,1076,2026-05-18T19:53:29,Python source module.
runtime/commands/local_commands.py,runtime/commands,tooling,19396,2026-05-23T00:30:02,Python source module.
runtime/contradiction_registry.json,runtime/contradiction_registry.json,runtime,6987,2026-05-23T02:22:03,Runtime artifact.
runtime/install.sh,runtime/install.sh,runtime,1974,2026-05-21T21:59:11,Runtime artifact.
runtime/knowledge/README.md,runtime/knowledge,knowledge,974,2026-05-22T19:25:12,RHCSA Local Knowledge Base
runtime/knowledge/__init__.py,runtime/knowledge,knowledge,69,2026-05-21T06:42:20,Knowledge artifact.
runtime/knowledge/bash/README.md,runtime/knowledge,knowledge,646,2026-05-22T19:25:12,Bash
runtime/knowledge/bash/skrypty-bash-podstawy.md,runtime/knowledge,knowledge,8809,2026-05-22T19:25:12,Skrypty bash — podstawy
runtime/knowledge/bash/wyszukiwanie-i-filtrowanie-tekstu.md,runtime/knowledge,knowledge,10709,2026-05-22T19:25:12,Wyszukiwanie i filtrowanie tekstu
runtime/knowledge/bash/zaawansowane-narzdzia-tekstowe.md,runtime/knowledge,knowledge,4675,2026-05-22T19:25:12,Zaawansowane narz■dzia tekstowe
runtime/knowledge/bash/zmienne-rodowiskowe-i-powoka.md,runtime/knowledge,knowledge,12829,2026-05-22T19:25:12,Zmienne ■rodowiskowe i pow■oka
runtime/knowledge/candidates/candidate_command_index.json,runtime/knowledge,knowledge,2037636,2026-05-24T17:39:00,Canonical command index used by local lookup.
runtime/knowledge/candidates/candidate_commands.csv,runtime/knowledge,knowledge,750184,2026-05-24T17:39:00,Knowledge artifact.
runtime/knowledge/canonical/rhcsa_commands.json,runtime/knowledge,knowledge,220301,2026-05-21T21:17:49,Canonical RHCSA command records.
runtime/knowledge/command_graph.json,runtime/knowledge,knowledge,2027,2026-05-21T06:42:24,Knowledge artifact.
runtime/knowledge/context/context_pack.json,runtime/knowledge,knowledge,692,2026-05-21T21:30:02,Knowledge artifact.
runtime/knowledge/examples/ls-command.json,runtime/knowledge,knowledge,525,2026-05-21T20:38:00,Knowledge artifact.
runtime/knowledge/examples/rm-recursive-force.json,runtime/knowledge,knowledge,632,2026-05-21T20:38:01,Knowledge artifact.
runtime/knowledge/examples/systemctl-status.json,runtime/knowledge,knowledge,670,2026-05-21T20:38:01,Knowledge artifact.
runtime/knowledge/extracted/linux_master_library_v1.md,runtime/knowledge,knowledge,797025,2026-05-24T16:35:11,Knowledge artifact.
runtime/knowledge/extracted/linux_master_library_v1.txt,runtime/knowledge,knowledge,797025,2026-05-24T16:35:11,Knowledge artifact.
runtime/knowledge/filesystem/README.md,runtime/knowledge,knowledge,835,2026-05-22T19:25:12,Filesystem
runtime/knowledge/filesystem/archiwizacja-i-kompresja.md,runtime/knowledge,knowledge,8646,2026-05-22T19:25:12,Archiwizacja i kompresja
runtime/knowledge/filesystem/edytor-vim.md,runtime/knowledge,knowledge,17661,2026-05-22T19:25:12,Edytor Vim
runtime/knowledge/filesystem/nawigacja-po-systemie-plikow.md,runtime/knowledge,knowledge,9395,2026-05-22T19:25:12,Nawigacja po systemie plików
runtime/knowledge/filesystem/operacje-na-plikach-i-katalogach.md,runtime/knowledge,knowledge,10273,2026-05-22T19:25:12,Operacje na plikach i katalogach
runtime/knowledge/filesystem/przegldanie-zawartoci-plikow.md,runtime/knowledge,knowledge,2285,2026-05-22T19:25:12,Przegl■danie zawarto■ci plików
runtime/knowledge/filesystem/wyszukiwanie-plikow.md,runtime/knowledge,knowledge,16184,2026-05-22T19:25:12,Wyszukiwanie plików
runtime/knowledge/index/command_index.json,runtime/knowledge,knowledge,130492,2026-05-21T21:21:31,Canonical command index used by local lookup.
runtime/knowledge/index/command_index_template.csv,runtime/knowledge,knowledge,92,2026-05-24T16:36:42,Knowledge artifact.
runtime/knowledge/injection/injected_context.json,runtime/knowledge,knowledge,202,2026-05-21T22:16:07,Knowledge artifact.
runtime/knowledge/lvm/README.md,runtime/knowledge,knowledge,317,2026-05-22T19:25:12,Lvm
runtime/knowledge/lvm/lvm-logical-volume-manager.md,runtime/knowledge,knowledge,5854,2026-05-22T19:25:12,LVM — Logical Volume Manager
runtime/knowledge/manifests/library_manifest.yaml,runtime/knowledge,knowledge,995,2026-05-24T16:36:41,Knowledge artifact.
runtime/knowledge/networking/README.md,runtime/knowledge,knowledge,705,2026-05-22T19:25:12,Networking
runtime/knowledge/networking/nfs-i-autofs.md,runtime/knowledge,knowledge,5447,2026-05-22T19:25:12,NFS i Autofs
runtime/knowledge/networking/samba-i-nfs-klient.md,runtime/knowledge,knowledge,2878,2026-05-22T19:25:12,Samba i NFS (klient)
runtime/knowledge/networking/sie-konfiguracja-i-diagnostyka.md,runtime/knowledge,knowledge,14374,2026-05-22T19:25:12,Sie■ — konfiguracja i diagnostyka
runtime/knowledge/networking/ssh-i-dostp-zdalny.md,runtime/knowledge,knowledge,13850,2026-05-22T19:25:12,SSH i dost■p zdalny
runtime/knowledge/networking/zapora-ogniowa-firewalld.md,runtime/knowledge,knowledge,9674,2026-05-22T19:25:12,Zapora ogniowa (firewalld)
runtime/knowledge/parsed/rhcsa_sections.json,runtime/knowledge,knowledge,48865,2026-05-21T21:12:46,Knowledge artifact.
runtime/knowledge/permissions/README.md,runtime/knowledge,knowledge,360,2026-05-22T19:25:12,Permissions
runtime/knowledge/permissions/uprawnienia-i-wasno-plikow.md,runtime/knowledge,knowledge,11889,2026-05-22T19:25:12,Uprawnienia i w■asno■■ plików
runtime/knowledge/podman/README.md,runtime/knowledge,knowledge,323,2026-05-22T19:25:12,Podman
runtime/knowledge/podman/kontenery-podman.md,runtime/knowledge,knowledge,35613,2026-05-22T19:25:12,Kontenery Podman
runtime/knowledge/provenance/PROVENANCE_POLICY.md,runtime/knowledge,provenance,1725,2026-05-24T16:36:41,Linux Engineering Provenance Policy
runtime/knowledge/raw/rhcsa_raw.txt,runtime/knowledge,knowledge,198795,2026-05-21T21:08:23,Knowledge artifact.
runtime/knowledge/reports/category_distribution.md,runtime/knowledge,knowledge,383,2026-05-24T17:39:00,Candidate Category Distribution
runtime/knowledge/reports/deduplication_report.md,runtime/knowledge,knowledge,2753,2026-05-24T17:39:00,Candidate Deduplication Report
runtime/knowledge/reports/parsing_quality_report.md,runtime/knowledge,knowledge,5457,2026-05-24T17:39:00,Candidate Parsing Quality Report
runtime/knowledge/reports/retrieval_engine_report.md,runtime/knowledge,knowledge,3764,2026-05-24T16:54:02,Linux Retrieval Engine v1 Report
runtime/knowledge/rhcsa_engine.py,runtime/knowledge,knowledge,6688,2026-05-21T06:44:33,Python source module.
runtime/knowledge/schema/command.schema.json,runtime/knowledge,knowledge,2467,2026-05-21T20:38:00,Knowledge artifact.
runtime/knowledge/selinux/README.md,runtime/knowledge,knowledge,307,2026-05-22T19:25:12,Selinux
runtime/knowledge/selinux/selinux.md,runtime/knowledge,knowledge,11784,2026-05-22T19:25:12,SELinux
runtime/knowledge/source/RHCSA_Command_Library (1).pdf,runtime/knowledge,knowledge,153760,2026-05-21T21:03:27,Knowledge artifact.
runtime/knowledge/source/linux_master_library_v1.pdf,runtime/knowledge,knowledge,1144661,2026-05-24T16:35:06,Canonical Linux Master Library PDF source.
runtime/knowledge/storage/README.md,runtime/knowledge,knowledge,565,2026-05-22T19:25:12,Storage
runtime/knowledge/storage/przechowywanie-danych-dyski-i-partycje.md,runtime/knowledge,knowledge,2736,2026-05-22T19:25:12,Przechowywanie danych — dyski i partycje
runtime/knowledge/storage/systemy-plikow-i-montowanie.md,runtime/knowledge,knowledge,6784,2026-05-22T19:25:12,Systemy plików i montowanie
runtime/knowledge/storage/zarzdzanie-dyskami-raid.md,runtime/knowledge,knowledge,3158,2026-05-22T19:25:12,Zarz■dzanie dyskami RAID
runtime/knowledge/systemd/README.md,runtime/knowledge,knowledge,637,2026-05-22T19:25:12,Systemd
runtime/knowledge/systemd/boot-i-grub.md,runtime/knowledge,knowledge,9827,2026-05-22T19:25:12,Boot i GRUB
runtime/knowledge/systemd/cron-i-harmonogramowanie-zada.md,runtime/knowledge,knowledge,8417,2026-05-22T19:25:12,Cron i harmonogramowanie zada■
runtime/knowledge/systemd/systemd-i-zarzdzanie-usugami.md,runtime/knowledge,knowledge,20275,2026-05-22T19:25:12,Systemd i zarz■dzanie us■ugami
runtime/knowledge/systemd/zarzdzanie-pakietami-dnf-rpm.md,runtime/knowledge,knowledge,25165,2026-05-22T19:25:12,Zarz■dzanie pakietami (DNF/RPM)
runtime/knowledge/tools/CANONICAL_BUILDER_README.md,runtime/knowledge,knowledge,1274,2026-05-21T21:17:43,RHCSA Canonical Builder
runtime/knowledge/tools/CONTEXT_PACK_README.md,runtime/knowledge,knowledge,1279,2026-05-21T21:29:55,RHCSA Context Pack Builder
runtime/knowledge/tools/INDEX_BUILDER_README.md,runtime/knowledge,knowledge,1090,2026-05-21T21:21:27,RHCSA Index Builder
runtime/knowledge/tools/INJECTION_LAYER_README.md,runtime/knowledge,knowledge,1142,2026-05-21T22:16:00,RHCSA Context Injection Layer
runtime/knowledge/tools/README.md,runtime/knowledge,knowledge,1165,2026-05-21T21:08:18,RHCSA PDF Extraction Tool
